match_id,home_team,away_team,date,home_goals,away_goals,baseline_home,baseline_draw,baseline_away,llm_home,llm_draw,llm_away,llm_confidence,parse_method,skipped_web_search,iteration_count,web_searches_performed,has_kg_insights,home_weighted_form,away_weighted_form,form_comparison,actual_outcome,baseline_correct,llm_correct,baseline_brier,llm_brier
17,Southampton,Manchester United,2021-08-22,1,1,0.1773,0.2268,0.5959,0.23333333333333336,0.3666666666666667,0.4,low,ensemble,True,2,0,True,"{'matches_played': 1, 'wins': 0, 'draws': 0, 'losses': 1, 'goals_scored': 0, 'goals_conceded': 2, 'form_string': 'L', 'weighted_points_per_game': 0.0, 'weighted_goals_per_game': 1.0, 'weighted_goals_conceded': 3.0, 'weighted_goal_difference': -2.0, 'momentum_score': 0, 'points_per_game': 0.0}","{'matches_played': 1, 'wins': 1, 'draws': 0, 'losses': 0, 'goals_scored': 3, 'goals_conceded': 0, 'form_string': 'W', 'weighted_points_per_game': 3.0, 'weighted_goals_per_game': 5.0, 'weighted_goals_conceded': 1.0, 'weighted_goal_difference': 4.0, 'momentum_score': 0, 'points_per_game': 3.0}","{'ppg_differential': -3.0, 'goal_differential': -6.0, 'momentum_differential': 0, 'form_advantage': 'away', 'momentum_advantage': 'even', 'home_form_strength': 0.0, 'away_form_strength': 3.0}",D,False,False,0.9844,0.6156
19,Arsenal,Chelsea,2021-08-22,0,2,0.1977,0.2569,0.5454,0.31666666666666665,0.3666666666666667,0.31666666666666665,low,ensemble,True,2,0,True,"{'matches_played': 1, 'wins': 0, 'draws': 0, 'losses': 1, 'goals_scored': 0, 'goals_conceded': 1, 'form_string': 'L', 'weighted_points_per_game': 0.0, 'weighted_goals_per_game': 0.0, 'weighted_goals_conceded': 2.0, 'weighted_goal_difference': -2.0, 'momentum_score': 0, 'points_per_game': 0.0}","{'matches_played': 1, 'wins': 1, 'draws': 0, 'losses': 0, 'goals_scored': 2, 'goals_conceded': 0, 'form_string': 'W', 'weighted_points_per_game': 3.0, 'weighted_goals_per_game': 3.0, 'weighted_goals_conceded': 0.0, 'weighted_goal_difference': 3.0, 'momentum_score': 0, 'points_per_game': 3.0}","{'ppg_differential': -3.0, 'goal_differential': -5.0, 'momentum_differential': 0, 'form_advantage': 'away', 'momentum_advantage': 'even', 'home_form_strength': 0.0, 'away_form_strength': 3.0}",A,True,False,0.3117,0.7017
29,Tottenham Hotspur,Watford,2021-08-29,1,0,0.6696,0.2132,0.1172,0.64,0.24333333333333335,0.11666666666666667,high,ensemble,True,1,0,True,"{'matches_played': 2, 'wins': 2, 'draws': 0, 'losses': 0, 'goals_scored': 1, 'goals_conceded': 0, 'form_string': 'W-W', 'weighted_points_per_game': 3.0, 'weighted_goals_per_game': 1.0, 'weighted_goals_conceded': 0.0, 'weighted_goal_difference': 1.0, 'momentum_score': 3.0, 'points_per_game': 3.0}","{'matches_played': 2, 'wins': 1, 'draws': 0, 'losses': 1, 'goals_scored': 1, 'goals_conceded': 2, 'form_string': 'L-W', 'weighted_points_per_game': 1.24, 'weighted_goals_per_game': 1.24, 'weighted_goals_conceded': 2.0, 'weighted_goal_difference': -0.76, 'momentum_score': 1.5, 'points_per_game': 1.5}","{'ppg_differential': 1.76, 'goal_differential': 1.76, 'momentum_differential': 1.5, 'form_advantage': 'home', 'momentum_advantage': 'home', 'home_form_strength': 3.0, 'away_form_strength': 1.24}",H,True,True,0.1684,0.2024
44,Liverpool,Crystal Palace,2021-09-18,3,0,0.7866,0.1434,0.0701,0.5666666666666667,0.2833333333333333,0.15,low,ensemble,True,2,0,True,"{'matches_played': 4, 'wins': 3, 'draws': 1, 'losses': 0, 'goals_scored': 3, 'goals_conceded': 0, 'form_string': 'W-D-W-W', 'weighted_points_per_game': 2.54, 'weighted_goals_per_game': 2.37, 'weighted_goals_conceded': 0.23, 'weighted_goal_difference': 2.14, 'momentum_score': 2.0, 'points_per_game': 2.5}","{'matches_played': 4, 'wins': 1, 'draws': 2, 'losses': 1, 'goals_scored': 2, 'goals_conceded': 1, 'form_string': 'W-D-D-L', 'weighted_points_per_game': 1.84, 'weighted_goals_per_game': 1.91, 'weighted_goals_conceded': 0.83, 'weighted_goal_difference': 1.08, 'momentum_score': 2.0, 'points_per_game': 1.25}","{'ppg_differential': 0.7, 'goal_differential': 1.06, 'momentum_differential': 0.0, 'form_advantage': 'home_slight', 'momentum_advantage': 'even', 'home_form_strength': 2.54, 'away_form_strength': 1.84}",H,True,True,0.071,0.2906
49,West Ham United,Manchester United,2021-09-19,1,2,0.2139,0.2453,0.5408,0.27666666666666667,0.23666666666666666,0.4866666666666667,low,ensemble,True,2,0,True,"{'matches_played': 4, 'wins': 2, 'draws': 2, 'losses': 0, 'goals_scored': 2, 'goals_conceded': 1, 'form_string': 'D-D-W-W', 'weighted_points_per_game': 1.6, 'weighted_goals_per_game': 1.67, 'weighted_goals_conceded': 0.89, 'weighted_goal_difference': 0.78, 'momentum_score': 1.0, 'points_per_game': 2.0}","{'matches_played': 4, 'wins': 3, 'draws': 1, 'losses': 0, 'goals_scored': 4, 'goals_conceded': 1, 'form_string': 'W-W-D-W', 'weighted_points_per_game': 2.66, 'weighted_goals_per_game': 2.87, 'weighted_goals_conceded': 0.76, 'weighted_goal_difference': 2.11, 'momentum_score': 3.0, 'points_per_game': 2.5}","{'ppg_differential': -1.06, 'goal_differential': -1.33, 'momentum_differential': -2.0, 'form_advantage': 'away', 'momentum_advantage': 'away', 'home_form_strength': 1.6, 'away_form_strength': 2.66}",A,True,True,0.3168,0.3961
118,Liverpool,Arsenal,2021-11-20,4,0,0.6481,0.2028,0.149,0.43333333333333335,0.3333333333333333,0.23333333333333334,low,ensemble,True,2,0,True,"{'matches_played': 5, 'wins': 2, 'draws': 2, 'losses': 1, 'goals_scored': 4, 'goals_conceded': 2, 'form_string': 'L-D-W-W-D', 'weighted_points_per_game': 1.25, 'weighted_goals_per_game': 2.93, 'weighted_goals_conceded': 1.75, 'weighted_goal_difference': 1.18, 'momentum_score': 0.5, 'points_per_game': 1.6}","{'matches_played': 5, 'wins': 3, 'draws': 2, 'losses': 0, 'goals_scored': 2, 'goals_conceded': 0, 'form_string': 'W-W-W-D-D', 'weighted_points_per_game': 2.6, 'weighted_goals_per_game': 1.67, 'weighted_goals_conceded': 0.45, 'weighted_goal_difference': 1.22, 'momentum_score': 3.0, 'points_per_game': 2.2}","{'ppg_differential': -1.35, 'goal_differential': -0.04, 'momentum_differential': -2.5, 'form_advantage': 'away', 'momentum_advantage': 'away', 'home_form_strength': 1.25, 'away_form_strength': 2.6}",H,True,True,0.1872,0.4867
143,Wolverhampton,Liverpool,2021-12-04,0,1,0.1262,0.2038,0.67,0.19,0.23333333333333334,0.5766666666666667,medium,ensemble,True,2,0,True,"{'matches_played': 5, 'wins': 2, 'draws': 2, 'losses': 1, 'goals_scored': 0, 'goals_conceded': 0, 'form_string': 'D-D-W-L-W', 'weighted_points_per_game': 1.45, 'weighted_goals_per_game': 0.35, 'weighted_goals_conceded': 0.27, 'weighted_goal_difference': 0.08, 'momentum_score': 1.0, 'points_per_game': 1.6}","{'matches_played': 5, 'wins': 3, 'draws': 1, 'losses': 1, 'goals_scored': 9, 'goals_conceded': 1, 'form_string': 'W-W-W-L-D', 'weighted_points_per_game': 2.55, 'weighted_goals_per_game': 3.65, 'weighted_goals_conceded': 0.8, 'weighted_goal_difference': 2.86, 'momentum_score': 3.0, 'points_per_game': 2.0}","{'ppg_differential': -1.1, 'goal_differential': -2.78, 'momentum_differential': -2.0, 'form_advantage': 'away', 'momentum_advantage': 'away', 'home_form_strength': 1.45, 'away_form_strength': 2.55}",A,True,True,0.1664,0.2698
152,Arsenal,Southampton,2021-12-11,3,0,0.5791,0.2403,0.1805,0.4166666666666667,0.3833333333333333,0.2,low,ensemble,True,2,0,True,"{'matches_played': 5, 'wins': 2, 'draws': 0, 'losses': 3, 'goals_scored': 3, 'goals_conceded': 4, 'form_string': 'L-L-W-L-W', 'weighted_points_per_game': 0.83, 'weighted_goals_per_game': 1.32, 'weighted_goals_conceded': 1.99, 'weighted_goal_difference': -0.67, 'momentum_score': 0.0, 'points_per_game': 1.2}","{'matches_played': 5, 'wins': 1, 'draws': 2, 'losses': 2, 'goals_scored': 2, 'goals_conceded': 4, 'form_string': 'D-D-L-L-W', 'weighted_points_per_game': 0.78, 'weighted_goals_per_game': 1.05, 'weighted_goals_conceded': 1.98, 'weighted_goal_difference': -0.93, 'momentum_score': 1.0, 'points_per_game': 1.0}","{'ppg_differential': 0.05, 'goal_differential': 0.26, 'momentum_differential': -1.0, 'form_advantage': 'even', 'momentum_advantage': 'away', 'home_form_strength': 0.83, 'away_form_strength': 0.78}",H,True,True,0.2675,0.5272
160,Manchester City,Leeds United,2021-12-14,7,0,0.8351,0.1116,0.0534,0.8166666666666667,0.10666666666666667,0.07666666666666666,medium,ensemble,True,1,0,True,"{'matches_played': 5, 'wins': 5, 'draws': 0, 'losses': 0, 'goals_scored': 5, 'goals_conceded': 1, 'form_string': 'W-W-W-W-W', 'weighted_points_per_game': 3.0, 'weighted_goals_per_game': 2.02, 'weighted_goals_conceded': 0.57, 'weighted_goal_difference': 1.45, 'momentum_score': 3.0, 'points_per_game': 3.0}","{'matches_played': 5, 'wins': 1, 'draws': 2, 'losses': 2, 'goals_scored': 3, 'goals_conceded': 4, 'form_string': 'L-D-W-D-L', 'weighted_points_per_game': 0.93, 'weighted_goals_per_game': 1.39, 'weighted_goals_conceded': 1.64, 'weighted_goal_difference': -0.25, 'momentum_score': 0.5, 'points_per_game': 1.0}","{'ppg_differential': 2.07, 'goal_differential': 1.7, 'momentum_differential': 2.5, 'form_advantage': 'home', 'momentum_advantage': 'home', 'home_form_strength': 3.0, 'away_form_strength': 0.93}",H,True,True,0.0425,0.0509
191,Manchester United,Wolverhampton,2022-01-03,0,1,0.6098,0.2318,0.1584,0.45999999999999996,0.34,0.2,low,ensemble,True,2,0,True,"{'matches_played': 5, 'wins': 4, 'draws': 1, 'losses': 0, 'goals_scored': 4, 'goals_conceded': 1, 'form_string': 'W-D-W-W-W', 'weighted_points_per_game': 2.38, 'weighted_goals_per_game': 1.9, 'weighted_goals_conceded': 0.85, 'weighted_goal_difference': 1.05, 'momentum_score': 2.0, 'points_per_game': 2.6}","{'matches_played': 5, 'wins': 1, 'draws': 2, 'losses': 2, 'goals_scored': 0, 'goals_conceded': 0, 'form_string': 'D-W-L-L-D', 'weighted_points_per_game': 1.15, 'weighted_goals_per_game': 0.24, 'weighted_goals_conceded': 0.34, 'weighted_goal_difference': -0.1, 'momentum_score': 2.0, 'points_per_game': 1.0}","{'ppg_differential': 1.23, 'goal_differential': 1.15, 'momentum_differential': 0.0, 'form_advantage': 'home', 'momentum_advantage': 'even', 'home_form_strength': 2.38, 'away_form_strength': 1.15}",A,False,False,1.1339,0.9672
